ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,Ram,Storage
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,159,15,34490,48490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,4231,409,38700,59390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 15 (2022) Core i3 10th Gen,4.3,9459,946,33990,45990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
acer Aspire 3 Ryzen 3 Dual Core 3250U,4.2,183,46,26990,42999,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
HP Celeron Dual Core,4.4,7,1,25990,36965,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
APPLE 2020 Macbook Air M1,4.7,8557,770,85990,99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5,4.4,1162,148,52990,71990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Core i3 11th Gen,3.8,10,0,37900,61390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen,4.5,1083,145,74990,92990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,4.5,645,82,59990,82990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming F15 Core i5 10th Gen,4.4,4212,411,52990,70990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 5 Core i5 12th Gen,0,0,0,65300,97890,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Athlon Dual Core 3050U,3.9,18,0,29990,44630,Processor: AMD Athlon Silver 3050U (Base- 2.30 GHz & Turbo up to 3.20 GHz) 2 Cores,RAM & Storage: 8GB DDR4 & 256GB SSD,Display: 15.6" HD WVA AG Narrow Border
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.4,241,36,62990,81869,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.4,11361,1160,54890,63539,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,0,0,0,62390,95090,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,512 GB SSD
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,4.4,1999,271,49990,72990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
